no,text
35,"['love', 'VB'], ['shampoo', 'NN'], ['much', 'JJ'], ['leaf', 'NN'], ['hair', 'NN'], ['feeling', 'VBG'], ['extra', 'JJ'], ['soft', 'JJ'], ['lightweight', 'NN'], ['see', 'VB'], ['difference', 'NN'], ['volume', 'NN'], ['hair', 'NN'], ['using', 'VBG'], ['thats', 'NNS'], ['gave', 'VBD'], ['product', 'NN'], ['otherwise', 'RB'], ['absolutely', 'RB'], ['love', 'VB'], ['product', 'NN'], ['much', 'JJ'], ['repurchase', 'NN'], ['i', 'NN'], ['received', 'VBD'], ['product', 'NN'], ['via', 'IN'], ['influenster', 'JJ'], ['try', 'VBP'], ['free', 'JJ'], ['review', 'NN']"
36,"['product', 'NN'], ['pretty', 'RB'], ['good', 'JJ'], ['really', 'RB'], ['right', 'JJ'], ['me', 'PRP'], ['make', 'VBP'], ['hair', 'JJ'], ['smooth', 'JJ'], ['product', 'NN'], ['use', 'NN'], ['mean', 'JJ'], ['yours', 'NNS'], ['itd', 'VBP'], ['like', 'IN'], ['provide', 'JJ'], ['little', 'JJ'], ['volume', 'NN'], ['advertising', 'NN'], ['tested', 'VBD'], ['product', 'NN'], ['free', 'JJ'], ['opinion', 'NN'], ['own', 'IN']"
37,"['initial', 'JJ'], ['reaction', 'NN'], ['bottle', 'RB'], ['hard', 'JJ'], ['open', 'JJ'], ['scent', 'NN'], ['great', 'JJ'], ['however', 'RB'], ['using', 'VBG'], ['it', 'PRP'], ['loved', 'VBD'], ['way', 'NN'], ['made', 'VBN'], ['hair', 'NN'], ['feel', 'VB'], ['felt', 'VBD'], ['soft', 'JJ'], ['difference', 'NN'], ['volume', 'NN'], ['regular', 'JJ'], ['shampoo', 'NN'], ['noticeable', 'JJ'], ['received', 'VBD'], ['product', 'NN'], ['free', 'JJ'], ['opinion', 'NN'], ['own', 'IN']"
38,"['so', 'RB'], ['like', 'JJ'], ['product', 'NN'], ['tends', 'NNS'], ['make', 'VBP'], ['hair', 'JJ'], ['little', 'JJ'], ['dry', 'JJ'], ['good', 'JJ'], ['top', 'NN'], ['hair', 'NN'], ['get', 'VBP'], ['greasy', 'JJ'], ['quickly', 'RB'], ['however', 'RB'], ['hair', 'JJ'], ['get', 'VBP'], ['tangled', 'VBN'], ['usual', 'JJ']"
39,"['love', 'VB'], ['shampoo', 'NN'], ['extremely', 'RB'], ['thick', 'JJ'], ['hair', 'NN'], ['shampoo', 'VBD'], ['lather', 'RBR'], ['nicely', 'RB'], ['use', 'VB'], ['le', 'JJ'], ['normally', 'RB'], ['would', 'MD'], ['weigh', 'VB'], ['hair', 'NN'], ['like', 'IN'], ['shampoo', 'NN'], ['either', 'CC'], ['like', 'IN'], ['aussie', 'JJ'], ['product', 'NN'], ['smell', 'NN'], ['fantastic', 'JJ'], ['last', 'JJ'], ['day', 'NN'], ['tried', 'VBD'], ['aussie', 'JJ'], ['free', 'JJ'], ['opinion', 'NN']"
40,"['loved', 'VBN'], ['shampoo', 'JJ'], ['ive', 'JJ'], ['always', 'RB'], ['loved', 'VBN'], ['aussie', 'RP'], ['especially', 'RB'], ['smell', 'VB'], ['it', 'PRP'], ['shampoo', 'JJ'], ['light', 'JJ'], ['thin', 'JJ'], ['staright', 'NN'], ['hair', 'NN'], ['always', 'RB'], ['worried', 'VBD'], ['anything', 'NN'], ['promise', 'NN'], ['volume', 'NN'], ['weigh', 'JJ'], ['left', 'VBD'], ['hair', 'JJ'], ['bouncy', 'NN'], ['soft', 'JJ'], ['got', 'VBD'], ['product', 'NN'], ['free', 'JJ'], ['purchase', 'NN'], ['run', 'NN'], ['loved', 'VBD']"
41,"['given', 'VBN'], ['product', 'NN'], ['rest', 'NN'], ['free', 'JJ'], ['influenster', 'NN'], ['alll', 'JJ'], ['opinion', 'NN'], ['own', 'JJ'], ['liked', 'VBD'], ['shampoo', 'JJ'], ['value', 'NN'], ['smell', 'VBP'], ['find', 'VB'], ['particularly', 'RB'], ['volumizing', 'VBG'], ['fairly', 'RB'], ['flat', 'JJ'], ['hair', 'NN'], ['take', 'VB'], ['lot', 'NN'], ['work', 'NN'], ['volume', 'NN'], ['me', 'PRP']"
42,"['light', 'JJ'], ['refreshing', 'VBG'], ['foamy', 'JJ'], ['shampoo', 'NN'], ['really', 'RB'], ['great', 'JJ'], ['job', 'NN'], ['cleaning', 'VBG'], ['hair', 'NN'], ['without', 'IN'], ['leaving', 'VBG'], ['heavy', 'JJ'], ['stripped', 'VBN'], ['lot', 'NN'], ['foam', 'NN'], ['lot', 'NN'], ['volume', 'NN'], ['like', 'IN'], ['packaging', 'NN'], ['like', 'IN'], ['shampoo', 'NN'], ['received', 'VBN'], ['review', 'JJ'], ['opinion', 'NN']"
43,"['im', 'NN'], ['fan', 'NN'], ['shampoo', 'JJ'], ['fragrance', 'NN'], ['overpowering', 'VBG'], ['thickness', 'RB'], ['good', 'JJ'], ['quality', 'NN'], ['little', 'JJ'], ['go', 'VBP'], ['long', 'JJ'], ['way', 'NN'], ['long', 'JJ'], ['way', 'NN'], ['huge', 'JJ'], ['factor', 'NN'], ['me', 'PRP'], ['washed', 'VBD'], ['well', 'RB'], ['added', 'JJ'], ['volume', 'NN'], ['slight', 'JJ'], ['addition', 'NN'], ['couple', 'NN'], ['wash', 'NN'], ['along', 'IN'], ['conditioner', 'NN'], ['however', 'RB'], ['feel', 'VBP'], ['like', 'IN'], ['shampoo', 'NN'], ['stripped', 'VBD'], ['lot', 'RB'], ['good', 'JJ'], ['oil', 'NN'], ['hair', 'NN'], ['felt', 'VBD'], ['dry', 'JJ'], ['conditioning', 'NN'], ['needed', 'VBN'], ['add', 'VBP'], ['extra', 'JJ'], ['put', 'NN'], ['moisture', 'NN'], ['back', 'RB'], ['in', 'IN'], ['received', 'JJ'], ['product', 'NN'], ['review', 'NN'], ['review', 'VBP'], ['completely', 'RB'], ['own', 'JJ']"
44,"['boyfriend', 'NN'], ['using', 'VBG'], ['shampoo', 'JJ'], ['love', 'VB'], ['it', 'PRP'], ['thick', 'JJ'], ['hair', 'NN'], ['really', 'RB'], ['need', 'VB'], ['use', 'NN'], ['all', 'DT'], ['really', 'RB'], ['thin', 'JJ'], ['hair', 'NN'], ['tends', 'VBZ'], ['sit', 'JJ'], ['flat', 'JJ'], ['head', 'NN'], ['especially', 'RB'], ['root', 'JJ'], ['shampoo', 'NN'], ['smell', 'NN'], ['wonderful', 'JJ'], ['give', 'JJ'], ['volume', 'NN'], ['day', 'NN'], ['long', 'RB'], ['use', 'RB'], ['second', 'JJ'], ['routinecondition', 'NN'], ['first', 'RB'], ['shampoo', 'JJ'], ['con', 'NN'], ['found', 'VBD'], ['make', 'RB'], ['hair', 'JJ'], ['stick', 'VB'], ['together', 'RB'], ['rinse', 'JJ'], ['super', 'JJ'], ['hard', 'JJ'], ['brush', 'NN'], ['that', 'WDT'], ['love', 'VBD'], ['it', 'PRP'], ['disclaimer', 'RP'], ['tested', 'VBN'], ['aussie', 'JJ'], ['product', 'NN'], ['free', 'JJ'], ['opinion', 'NN'], ['own', 'IN']"
