  color ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  use ,  iv ,  bit ,  snob ,  shampoo ,  drug ,  store ,  get ,  happen ,  pick ,  impress ,  hair ,  felt ,  realli ,  thing ,  shampoo ,  conditioner ,  conditioner ,  smell ,  dog ,  scent ,  get ,  wash ,  experi ,  shampoo ,  conditionerwho ,  scent ,,,,
  love ,  condition ,  coupl ,  year ,  typic ,  brand ,  line ,  product ,  work ,  bottl ,  shampoo ,  hair ,  gotten ,  perman ,  heat ,  damag ,  reason ,  seem ,  thing ,  togeth ,  plu ,  scent ,  shampoo ,  scent ,  tropic ,  turn ,  line ,  anyon ,  damag ,  hair ,
  curli ,  save ,  product ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  comment ,  hair ,  condition ,  cowash ,  manag ,  absolut ,  love ,  conditioner ,,,,,,,,,,,,,,,,,,,,,,,
  hair ,  shini ,  healthi ,  hair ,  feel ,  mani ,  friend ,  husband ,  use ,  suav ,  sleek ,,,,,,,,,,,,,,,,,,,,
  product ,  use ,  hair ,  attention ,  feel ,,,,,,,,,,,,,,,,,,,,,,,,,,
  shampoocondition ,  look ,  price ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  loooov ,  realli ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  line ,  condition ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  besid ,  help ,  curli ,  wavi ,  hair ,  condition ,  hair ,  product ,  affordable ,  suave ,,,,,,,,,,,,,,,,,,,,,
  course ,  suav ,  coconut ,  condition ,  product ,  ill ,  daughter ,  thick ,  curli ,  hair ,  shower ,  time ,  mother ,  lot ,  money ,  hair ,  product ,  none ,  work ,  highli ,,,,,,,,,,,
  daughter ,  porou ,  hair ,  length ,  help ,  moisture ,  tangli ,  afro ,  lion ,  mane ,  look ,  hair ,  turn ,  hair ,  lion ,  mane ,  style ,  tri ,  hair ,  feel ,  plea ,  make ,  product ,,,,,,,,
